(1,4290)
(2,8641)
(3,1997)
(1,8601)
(2,3514)
(3,6607)
(1,4370)
(2,2869)
(3,7500)
(1,2295)
(2,3114)
(3,5744)
(1,266)
(2,5825)
(3,1897)
(1,2291)
(2,6392)
(3,3041)
(1,2420)
(2,378)
(3,9197)
(1,2055)
(2,140)
(3,8171)
(1,8789)
(2,5136)
(3,4650)
(1,7030)
(2,234)
(3,8966)
(1,1594)
(2,5906)
(3,98)
(1,5963)
(2,613)
(3,6330)
(1,7363)
(2,4060)
(3,4970)
(1,4222)
(2,1349)
(3,9229)
(1,296)
(2,3591)
(3,4191)
(1,2621)
(2,9325)
(3,5914)
(1,6622)
(2,4625)
(3,8703)
(1,3864)
(2,327)
(3,5674)
(1,50)
(2,141)
(3,2368)
(1,10031)
(2,2810)
(3,1133)
(1,957)
(2,9752)
(3,5395)
(1,869)
(2,9313)
(3,7798)
(1,10190)
(2,10222)
(3,6005)
(1,6536)
(2,160)
(3,9215)
(1,7786)
(2,5887)
(3,7838)
(1,2209)
(2,4613)
(3,5103)
(1,7051)
(2,6861)
(3,1981)
(1,1528)
(2,8651)
(3,6658)
(1,6275)
(2,5494)
(3,6029)
(1,4212)
(2,8105)
(3,6513)
(1,5069)
(2,4795)
(3,1815)
(1,8549)
(2,1183)
(3,612)
(1,4132)
(2,4977)
(3,10339)
(1,2357)
(2,5400)
(3,10291)
(1,1859)
(2,8291)
(3,10268)
(1,3539)
(2,6356)
(3,8584)
(1,5499)
(2,796)
(3,4452)
(1,4637)
(2,1931)
(3,6485)
(1,4282)
(2,4294)
(3,567)
(1,7501)
(2,106)
(3,1092)
(1,6120)
(2,10118)
(3,8973)
(1,9322)
(2,2307)
(3,7300)
(1,8745)
(2,7140)
(3,1191)
(1,10178)
(2,2815)
(3,2835)
(1,7358)
(2,7604)
(3,4402)
(1,1099)
(2,1222)
(3,7164)
(1,5867)
(2,267)
(3,7035)
(1,7016)
(2,7654)
(3,1103)
(1,2704)
(2,1674)
(3,4944)
(1,2958)
(2,8120)
(3,6614)
(1,3714)
(2,8209)
(3,4366)
(1,2993)
(2,5328)
(3,3441)
(1,5695)
(2,2142)
(3,9291)
(1,705)
